Shift; Sign on; Sign off; Route; Direction; Variation; Trip; DestinationSign; Stop; RouteDescription; Departure Time; Arrival Time; Ends with runoff
W1113;0545;1428;0018;01;01;1379;388;;Massey University - Wallace Street  ;1235;1258;False;
W1113;0545;1428;0018;02;02;2418;389;;Victoria University - Kelburn Parade  ;1337;1354;False;
W1114;1145;2042;0002;02;02;0256;014;Wellington Station (Stop D) ;Kilbirnie Shops - Rongotai Road  ;1203;1234;False;
W1114;1145;2042;0009;01;01;0625;043;Wellington Station (Stop B} ;Aro Street Terminus ;1245;1304;False;
W1114;1145;2042;0009;02;02;0622;042;Wellington Station (Stop D) ;Aro Street Terminus ;1310;1326;False;
W1114;1145;2042;0002;01;01;0263;016;Wellington Station (Stop A) ;Miramar Terminus - Darlington Road ;1338;1418;False;
W1114;1145;2042;0002;02;02;0276;014;;Kilbirnie Shops - Rongotai Road  ;1421;1433;False;
W1114;1145;2042;0753;01;01;9145;753;;-Display School Signs- ;1525;-Roll Destination Signs Show 53 RAILWAY STN- ;False;
W1114;1145;2042;0008;01;03;2983;039;Wellington Station (Stop B} ;Kowhai Park Terminus ;1725;1752;False;
W1114;1145;2042;0022;01;05;1491;128;;Victoria University - Kelburn Parade  ;1830;1842;False;
W1114;1145;2042;0024;01;01;2641;157;;Kilbirnie Shops - Bay Road ;1942;2005;False;
W1115;0542;1422;0002;02;04;0202;014;;Wellington Station ;0602;0624;False;
W1115;0542;1422;0002;01;01;0205;016;Wellington Station (Stop A) ;Miramar Terminus  ;0630;0707;False;
W1115;0542;1422;0002;02;02;0212;014;Wellington Station (Stop D) ;Miramar Terminus  ;0710;0748;False;
W1115;0542;1422;0007;01;01;0451;036;Wellington Station (Stop B} ;Kingston Terminal - Quebec Street ;0753;0819;False;
W1115;0542;1422;0007;02;02;0460;034;;Brooklyn Shops - Cleveland Street ;0822;0830;False;
W1115;0542;1422;0001;01;01;0047;004;Wellington Station (Stop A) ;Island Bay - Terminus ;1028;1107;False;
W1115;0542;1422;0001;02;02;0054;002;Wellington Station (Stop D) ;Island Bay - Terminus ;1117;1156;False;
W1115;0542;1422;0001;01;01;0063;004;Wellington Station (Stop A) ;Island Bay - Terminus ;1204;1243;False;
W1115;0542;1422;0001;02;02;0070;002;Wellington Station (Stop D) ;Island Bay - Terminus ;1253;1332;True;
W1116;1201;2104;0014;01;21;1619;088;;Kilbirnie Shops-Rongotai Rd  ;1218;1220;False;
W1116;1201;2104;0014;02;22;1622;095;;Wadestown Shops  ;1320;1328;False;
W1116;1201;2104;0022;01;07;1452;131;;Southgate - Terminal ;1515;1540;True;
W1116;1201;2104;0017;02;06;1334;099;Wellington Station (Stop D) ;Victoria University - Kelburn Parade  ;1715;1727;False;
W1116;1201;2104;0007;01;01;0525;036;Wellington Station (Stop B} ;Kingston Terminal - Quebec Street ;1733;1805;False;
W1116;1201;2104;0014;01;07;2313;088;;Molesworth Street  ;1837;1847;False;
W1116;1201;2104;0023;01;01;2523;142;;Courtenay Place  ;1930;1950;False;
W1117;0542;1452;0011;02;04;0800;053;Wellington Station (Stop D) ;Kilbirnie Shops - Rongotai Road  ;0602;0632;False;
W1117;0542;1452;0010;01;01;0737;050;Wellington Station (Stop B} ;Newtown Park Zoo ;0642;0704;False;
W1117;0542;1452;0010;02;02;0704;048;Wellington Station (Stop D) ;Newtown Park Zoo ;0715;0740;False;
W1117;0542;1452;0011;01;01;0813;055;Wellington Station (Stop B} ;Seatoun Park - Hector Street ;0750;0832;False;
W1117;0542;1452;0011;02;02;0826;053;Wellington Station (Stop D) ;Seatoun Park - Hector Street ;0834;0922;False;
W1117;0542;1452;0011;01;01;0831;055;Wellington Station (Stop B} ;Seatoun Park - Hector Street ;0930;1010;False;
W1117;0542;1452;0011;02;02;0838;053;;Kilbirnie Shops - Rongotai Road  ;1013;1025;False;
W1117;0542;1452;0044;01;01;1768;201;;Strathmore Park Terminus ;1138;1157;False;
W1117;0542;1452;0043;01;01;1773;181;;Courtenay Place  ;1225;1251;False;
W1117;0542;1452;0043;01;01;1773;185;;Wellington Station ;1330;1345;False;
W1118;1152;2128;0044;01;01;1772;193;;Courtenay Place  ;1210;1221;False;
W1118;1152;2128;0044;01;01;1772;201;;Wellington Station ;1300;1314;False;
W1118;1152;2128;0043;01;01;1777;181;;Courtenay Place  ;1425;1451;False;
W1118;1152;2128;0043;01;01;1777;185;;Wellington Station ;1530;1545;False;
W1118;1152;2128;0044;01;01;1788;194;;Courtenay Place  ;1755;1827;False;
W1118;1152;2128;0044;01;01;1788;199;;Wellington Station ;1855;1910;False;
W1118;1152;2128;0043;01;01;2785;182;;Courtenay Place  ;1955;2014;False;
W1118;1152;2128;0043;01;01;2785;185;;Wellington Station ;2040;2055;False;
W1119;0545;1433;0024;02;02;2600;149;;Kilbirnie Shops - Rongotai Road  ;0610;0630;False;
W1119;0545;1433;0021;02;08;3100;117;;Lambton Quay - District Court ;0710;0725;False;
W1119;0545;1433;0021;02;08;3100;118;;Farnham Street - Vogeltown Terminus ;0750;0755;False;
W1119;0545;1433;0021;02;06;3110;121;;Lambton Quay - District Court ;0840;0855;False;
W1119;0545;1433;0003;02;02;1025;064;;Courtenay Place  ;1021;1041;False;
W1119;0545;1433;0003;01;01;1046;067;;Lambton Quay - District Court ;1115;1132;False;
W1119;0545;1433;0003;02;02;1049;064;;Courtenay Place  ;1215;1241;False;
W1119;0545;1433;0003;01;01;1070;067;;Lambton Quay - District Court ;1315;1331;False;
W1119;0545;1433;0003;02;02;1073;064;;Kilbirnie Depot  ;1415;1421;False;
W1120;1210;2119;0003;02;02;1055;064;;Courtenay Place  ;1245;1305;False;
W1120;1210;2119;0003;01;01;1076;067;;Lambton Quay - District Court ;1345;1400;False;
W1120;1210;2119;0003;02;02;1079;064;;Kilbirnie Depot  ;1445;1451;False;
W1120;1210;2119;0021;02;08;3130;117;;Lambton Quay - District Court ;1655;1710;False;
W1120;1210;2119;0021;02;08;3130;118;;Farnham Street - Vogeltown Terminus ;1740;1745;False;
W1120;1210;2119;0021;02;08;3134;117;;Allow Super Gold passes from start of trip;1827;Lambton Quay - District Court ;False;
W1120;1210;2119;0021;02;08;3134;118;;Farnham Street - Vogeltown Terminus ;1905;1910;False;
W1120;1210;2119;0008;01;03;2993;039;Wellington Station (Stop B} ;Brooklyn Library ;2015;2030;False;
W1121;0550;1455;0008;02;02;2950;044;;Brooklyn Library ;0640;0649;False;
W1121;0550;1455;0003;02;06;2234;060;;Courtenay Place  ;0735;0805;False;
W1121;0550;1455;0011;02;04;0824;053;Wellington Station (Stop D) ;Kilbirnie Shops-Rongotai Rd  ;0823;0859;True;
W1121;0550;1455;0014;01;21;1613;089;;Kilbirnie Shops-Rongotai Rd  ;1048;1050;False;
W1121;0550;1455;0014;02;22;1632;095;;Wadestown Shops  ;1150;1158;False;
W1121;0550;1455;0014;01;21;1621;088;;Kilbirnie Shops-Rongotai Rd  ;1248;1250;False;
W1121;0550;1455;0014;02;22;1634;095;;Wadestown Shops  ;1350;1358;False;
W1122;1215;2108;0002;02;02;0260;014;Wellington Station (Stop D) ;Kilbirnie Shops - Rongotai Road  ;1233;1304;False;
W1122;1215;2108;0009;01;01;0627;043;Wellington Station (Stop B} ;Aro Street Terminus ;1315;1334;False;
W1122;1215;2108;0009;02;02;0624;042;Wellington Station (Stop D) ;Aro Street Terminus ;1340;1356;False;
W1122;1215;2108;0002;01;01;0267;016;Wellington Station (Stop A) ;Miramar Terminus - Darlington Road ;1408;1448;False;
W1122;1215;2108;0002;02;02;0280;014;Wellington Station (Stop D) ;Miramar Terminus - Darlington Road ;1451;1540;True;
W1122;1215;2108;0001;01;01;0115;004;Wellington Station (Stop A) ;Island Bay - Terminus ;1701;1741;False;
W1122;1215;2108;0001;02;02;0118;002;Wellington Station (Stop D) ;Island Bay - Terminus ;1748;1828;False;
W1122;1215;2108;0001;01;01;0143;004;Wellington Station (Stop A) ;Island Bay - Terminus ;1835;1907;False;
W1122;1215;2108;0001;02;02;0132;002;Wellington Station (Stop D) ;Island Bay - Terminus ;1910;1940;False;
W1122;1215;2108;0007;01;01;0543;036;Wellington Station (Stop B} ;Kingston Terminal - Quebec Street ;1950;2010;False;
W1122;1215;2108;0007;02;02;0542;034;Wellington Station (Stop D) ;Kingston Terminal - Quebec Street ;2013;2033;True;
W1123;0554;1454;0011;01;05;0801;055;;Seatoun Park - Hector Street ;0614;0628;False;
W1123;0554;1454;0011;02;02;0804;053;Wellington Station (Stop D) ;Seatoun Park - Hector Street ;0630;0708;False;
W1123;0554;1454;0011;01;01;0809;055;Wellington Station (Stop B} ;Seatoun Park - Hector Street ;0710;0748;False;
W1123;0554;1454;0011;02;02;0816;053;Wellington Station (Stop D) ;Seatoun Park - Hector Street ;0750;0838;True;
W1123;0554;1454;0010;01;01;0755;050;Wellington Station (Stop B} ;Newtown Park Zoo ;1025;1049;False;
W1123;0554;1454;0010;02;02;0720;048;Wellington Station (Stop D) ;Newtown Park Zoo ;1052;1119;False;
W1123;0554;1454;0010;01;01;0735;050;Wellington Station (Stop B} ;Newtown Park Zoo ;1125;1149;False;
W1123;0554;1454;0010;02;02;0724;048;Wellington Station (Stop D) ;Newtown Park Zoo ;1152;1219;False;
W1123;0554;1454;0010;01;01;0743;050;Wellington Station (Stop B} ;Newtown Park Zoo ;1225;1249;False;
W1123;0554;1454;0010;02;02;0728;048;Wellington Station (Stop D) ;Newtown Park Zoo ;1252;1319;False;
W1123;0554;1454;0010;01;01;0763;050;Wellington Station (Stop B} ;Newtown Park Zoo ;1325;1349;False;
W1123;0554;1454;0010;02;02;0732;048;Wellington Station (Stop D) ;Newtown Park Zoo ;1352;1419;True;
W1124;1216;2137;0003;02;02;1051;064;;Courtenay Place  ;1231;1251;False;
W1124;1216;2137;0003;01;01;1072;067;;Lambton Quay - District Court ;1325;1341;False;
W1124;1216;2137;0003;02;02;1075;064;;Kilbirnie Depot  ;1425;1431;False;
W1124;1216;2137;0704;01;01;9164;704;;Wellington Station ;1525;1540;True;
W1124;1216;2137;0007;01;01;0521;036;Wellington Station (Stop B} ;Kingston Terminal - Quebec Street ;1718;1750;False;
W1124;1216;2137;0014;01;21;2337;088;;Kilbirnie Shops-Rongotai Rd  ;1828;1830;False;
W1124;1216;2137;0014;02;02;2342;094;;Wadestown Shops  ;1915;1923;False;
W1124;1216;2137;0014;01;01;2321;089;;Hataitai Shops ;2000;2005;False;
W1124;1216;2137;0014;02;02;2338;094;;Wadestown Shops  ;2045;2053;False;
W1125;0556;1458;0002;01;05;0203;016;;Miramar Terminus  ;0616;0629;False;
W1125;0556;1458;0002;02;02;0208;014;Wellington Station (Stop D) ;Miramar Terminus  ;0630;0708;False;
W1125;0556;1458;0002;01;01;0213;016;Wellington Station (Stop A) ;Miramar Terminus  ;0713;0750;False;
W1125;0556;1458;0002;02;02;0224;014;Wellington Station (Stop D) ;Miramar Terminus  ;0800;0850;False;
W1125;0556;1458;0010;01;01;0787;050;Wellington Station (Stop B} ;Newtown Park Zoo ;0855;0919;False;
W1125;0556;1458;0010;02;02;0714;048;Wellington Station (Stop D) ;Newtown Park Zoo ;0922;0949;False;
W1125;0556;1458;0010;01;01;0749;050;Wellington Station (Stop B} ;Newtown Park Zoo ;0955;1019;False;
W1125;0556;1458;0010;02;02;0718;048;Wellington Station (Stop D) ;Newtown Park Zoo ;1022;1044;False;
W1125;0556;1458;0007;01;01;0479;036;Wellington Station (Stop B} ;Kingston Terminal - Quebec Street ;1222;1248;False;
W1125;0556;1458;0007;02;02;0490;034;;Brooklyn Shops - Cleveland Street ;1251;1259;False;
W1125;0556;1458;0007;01;01;0485;036;Wellington Station (Stop B} ;Kingston Terminal - Quebec Street ;1322;1348;False;
W1125;0556;1458;0007;02;02;0496;034;;Brooklyn Shops - Cleveland Street ;1351;1359;False;
W1126;1308;2315;0011;01;01;0859;055;;Seatoun Park - Hector Street ;1326;1340;False;
W1126;1308;2315;0011;02;02;0868;053;Wellington Station (Stop D) ;Seatoun Park - Hector Street ;1343;1425;False;
W1126;1308;2315;0011;01;01;0873;055;Wellington Station (Stop B} ;Seatoun Park - Hector Street ;1445;1534;False;
W1126;1308;2315;0011;02;02;0884;053;;Kilbirnie Shops - Rongotai Road  ;1543;1555;False;
W1126;1308;2315;0003;01;01;1132;067;;Lyall Bay - Hungerford Road ;1915;1922;False;
W1126;1308;2315;0003;02;02;1133;064;;Courtenay Place  ;1930;1945;False;
W1126;1308;2315;0003;01;01;1144;067;;Lambton Quay - District Court ;2030;2045;False;
W1126;1308;2315;0003;02;02;1143;064;;Courtenay Place  ;2120;2138;False;
W1126;1308;2315;0003;01;01;1152;067;;Lambton Quay - District Court ;2220;2232;False;
W1127;0558;1434;0003;02;20;1173;065;;Karori Park Terminus ;0630;0655;False;
W1127;0558;1434;0003;01;01;0988;067;;Lambton Quay - District Court ;0710;0727;False;
W1127;0558;1434;0003;02;02;0999;064;;Courtenay Place  ;0810;0839;False;
W1127;0558;1434;0003;01;01;1022;067;;Lambton Quay - District Court ;0915;0937;False;
W1127;0558;1434;0003;02;02;1025;064;;Kilbirnie Depot  ;1015;1021;False;
W1127;0558;1434;0017;01;05;2363;096;;University Term Only;1155;Victoria University - Kelburn Parade  ;False;
W1127;0558;1434;0017;02;06;2358;099;;University Term Only;1215;Wellington Station (Stop D) ;False;
W1127;0558;1434;0017;01;05;1319;096;;Victoria University - Kelburn Parade  ;1235;1245;False;
W1127;0558;1434;0017;02;06;1320;099;Wellington Station (Stop D) ;Victoria University - Kelburn Parade  ;1305;1315;False;
